timestamp(ms),navlooprate,MP uptime,NAV uptime,MISSIONTIME,accel x,accel y,accel z,mag x,mag y,mag z,accelabs,highaccel x,highaccel y,highaccel z,highaccelabs,accelworld x,accelworld y,accelworld z,gyro x,gyro y,gyro z,altitude,verticalvel,filtered vvel,filtered accel,orientation pitch,orientation yaw,orientation roll,maxrecorded alt,filtered alt,state ,altitudeagl ,battery vol ,baro temp ,pyro cont ,pyros fired ,pyro state,covarience x,covarience y,covarience z,
"1779660680.3",,,,,,,,,,,,,,,,,,,,,,,"0.117163","1.372423","0.13914",,,,,,,,,,,,,,,,
"1779660680.302",,,,,,,,,,,,,,,,,,,,,,,,,,"10.381032","-4.092196","-38.362239",,,,,,,,,,,,,
"1779660680.304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.83487","0.606233","0",,,,,,,,,,
"1779660680.306",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.168579","8.5","24.266481",,,,,,,
"1779660680.308",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0.000957",,,
"1779660680.31",,"16949","16949","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.000204","0.000335",
"1779660680.313",,,,,"-6.201892","7.567924","-1.750723","7.892429",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1779660680.316",,,,,,,,,"-46.141479","75.270393","9.939918","4.324733",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1779660680.317",,,,,,,,,,,,,"-7.207888","-12.493672","15.058181",,,,,,,,,,,,,,,,,,,,,,,,,,
"1779660680.318",,,,,,,,,,,,,,,,"-0.038849","-0.026163","0.138808",,,,,,,,,,,,,,,,,,,,,,,
"1779660680.319",,,,,,,,,,,,,,,,,,,"0.21334","3.039025","-0.475355","1970.549316",,,,,,,,,,,,,,,,,,,
"1779660680.32",,,,,,,,,,,,,,,,,,,,,,,"0.877243","1.371503","0.149087",,,,,,,,,,,,,,,,
"1779660680.322",,,,,,,,,,,,,,,,,,,,,,,,,,"10.33836","-4.123837","-38.367249",,,,,,,,,,,,,
"1779660680.323",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.83487","0.628944","0",,,,,,,,,,
"1779660680.325",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.460571","8.5","24.244057",,,,,,,
"1779660680.327",,"16928",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0.000957","0.000204","0.000335",
"1779660680.328",,,"16928","0","-6.195678","7.584825","-1.759709",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
